Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,CRAFTS,LS Squared Gini - Twoing,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 3,CRAFTS,LS Chi Square - Twoing,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
KDD98 Multiclass 3,RFA_23,LS Squared Gini - LS Chi Square,0.13711669382537242,29,0.445943050839,0.136649206926817,29,0.44612616786,4.877628741091549,1.78207386735e-05,29
KDD98 Multiclass 3,RFA_23,LS Squared Gini - Twoing,2.588726199963456,29,0.00745203145044,2.590139092911583,29,0.00742735508163,-3.525417908358019,0.999287086291,29
KDD98 Multiclass 3,RFA_23,LS Chi Square - Twoing,1.8459646236699294,29,0.0375642807822,1.8460911790588366,29,0.0375548255885,-7.9897037400430895,0.999999995888,29
KDD98 Multiclass 3,OSOURCE,LS Squared Gini - LS Chi Square,-0.1634762604777259,21,0.564146739775,-0.04304690979047097,21,0.51696458851,2.160246899469287,0.0212315944558,21
KDD98 Multiclass 3,OSOURCE,LS Squared Gini - Twoing,-2.636884543210268,21,0.992292041354,-2.606641708349611,21,0.991762731533,0.0,100.0,21
KDD98 Multiclass 3,OSOURCE,LS Chi Square - Twoing,-1.2645810859438782,21,0.890061745664,-1.3143554459025422,21,0.898548834277,-2.160246899469287,0.978768405544,21
KDD98 Multiclass 3,RFA_2,LS Squared Gini - LS Chi Square,-0.9285508042966676,29,0.819606660692,-0.9285508042966676,29,0.819606660692,0.0,0.5,29
KDD98 Multiclass 3,RFA_2,LS Squared Gini - Twoing,-0.23326093508109086,29,0.59140127361,-0.23326093508109086,29,0.59140127361,0.2051584399585157,0.419440800244,29
KDD98 Multiclass 3,RFA_2,LS Chi Square - Twoing,1.50545031868465,29,0.0715118392046,1.50545031868465,29,0.0715118392046,0.32833929318589655,0.372507111353,29
