Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi+AC0-Square Test,Maximum p+AC0-value Allowed by Chi+AC0-Square Test +AFs-between 0 and 1+AF0-,Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m+AF8-nom),Number of Valid Numeric Attributes in Dataset (m+AF8-num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold +AFs-s+AF0-,Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017+AC0-05+AC0-10 13:09:28.416444,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0748422181995,0.08535540399998354,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416465,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0344192382642,0.06849979200001144,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416494,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0762575167078,0.09707713499994952,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416516,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00352490067381,0.11817907599993305,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416535,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0187001673295,0.09296632399991722,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416555,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0029800010501,0.08306542799994077,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330042,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0068142744904,0.07187945700002274,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330154,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0416521505369,0.08267198099997586,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330195,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0746907578549,0.09675625800002763,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330232,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0359335900036,0.09902071099998011,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330267,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0756631948912,0.13050685299992892,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330302,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0040288825802,0.1291886249999834,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330336,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0177036087132,0.13164772599998287,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:29.330370,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.003173437467,0.13080030200001147,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574271,Adult Census Income,False,workclass,False,8,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00777827737905,0.13322525900002802,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574349,Adult Census Income,False,education,False,16,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0389007484308,0.13252974800002448,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574375,Adult Census Income,False,marital.status,False,7,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0736263383596,0.13111106899998504,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574397,Adult Census Income,False,occupation,False,14,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0344468035198,0.08276184500005002,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574416,Adult Census Income,False,relationship,False,6,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0747095432517,0.08136944500006393,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574444,Adult Census Income,False,race,False,5,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00354200232667,0.08634388300004048,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574465,Adult Census Income,False,sex,False,2,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0170891528747,0.0846133209998925,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:30.574485,Adult Census Income,False,native.country,False,41,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00349093475109,0.08094014699997842,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258076,Adult Census Income,False,workclass,False,8,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00733179105173,0.08288251399994806,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258146,Adult Census Income,False,education,False,16,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0408442345683,0.08126862899996468,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258169,Adult Census Income,False,marital.status,False,7,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0758217099307,0.0835830010000791,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258188,Adult Census Income,False,occupation,False,14,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0346385232582,0.07356751500003611,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258206,Adult Census Income,False,relationship,False,6,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0771572581769,0.10867899499999112,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258223,Adult Census Income,False,race,False,5,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00377605818155,0.08740733800004818,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258241,Adult Census Income,False,sex,False,2,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0182949613014,0.06820037399995726,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.258258,Adult Census Income,False,native.country,False,41,30162,2,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00275229280642,0.06417646800002785,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983200,Adult Census Income,False,workclass,False,8,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00754341419901,0.06288694800002759,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983272,Adult Census Income,False,education,False,16,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.039010130716,0.06312650299992129,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983295,Adult Census Income,False,marital.status,False,7,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.073810465506,0.08553021199998057,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983314,Adult Census Income,False,occupation,False,14,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.035580752974,0.11151382700006707,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983332,Adult Census Income,False,relationship,False,6,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.074653181767,0.10621840100009194,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983357,Adult Census Income,False,race,False,5,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00390249686996,0.08239749300003041,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983376,Adult Census Income,False,sex,False,2,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0173038408941,0.10501588300007825,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:31.983393,Adult Census Income,False,native.country,False,41,30162,2,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00303037741253,0.07895233700003246,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758575,Adult Census Income,False,workclass,False,8,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00721296362904,0.08028636599999572,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758679,Adult Census Income,False,education,False,16,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0407433857235,0.0798200240000142,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758715,Adult Census Income,False,marital.status,False,7,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0744812495648,0.11903825700005655,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758747,Adult Census Income,False,occupation,False,14,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0373646239395,0.10524944500002675,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758777,Adult Census Income,False,relationship,False,6,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0756250539132,0.08921964299997853,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758806,Adult Census Income,False,race,False,5,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00363790324713,0.0738946079999323,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758836,Adult Census Income,False,sex,False,2,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0168833666147,0.08028348499999538,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:32.758866,Adult Census Income,False,native.country,False,41,30162,3,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00290387443838,0.08204208400002244,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.612970,Adult Census Income,False,workclass,False,8,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00752642001107,0.08249298299995189,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613067,Adult Census Income,False,education,False,16,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0380650033579,0.08221689000004062,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613104,Adult Census Income,False,marital.status,False,7,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0726866492187,0.08511649100000795,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613136,Adult Census Income,False,occupation,False,14,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0323340406124,0.11485729399998945,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613167,Adult Census Income,False,relationship,False,6,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0740262212239,0.11069661199996972,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613197,Adult Census Income,False,race,False,5,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00371249008295,0.1121178380000174,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613238,Adult Census Income,False,sex,False,2,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0180611414033,0.11210850899999514,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:33.613269,Adult Census Income,False,native.country,False,41,30162,3,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00318996208339,0.11340422000000672,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508175,Adult Census Income,False,workclass,False,8,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00792415758064,0.11052905300005023,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508272,Adult Census Income,False,education,False,16,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0399681959548,0.11047665499995674,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508309,Adult Census Income,False,marital.status,False,7,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0760992223337,0.11163735399998131,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508341,Adult Census Income,False,occupation,False,14,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0354061247134,0.11608675699994819,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508372,Adult Census Income,False,relationship,False,6,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0768689411062,0.11954027199999473,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508402,Adult Census Income,False,race,False,5,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00386858783118,0.07850541300001623,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508433,Adult Census Income,False,sex,False,2,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0177463038146,0.08378271700007645,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:34.508463,Adult Census Income,False,native.country,False,41,30162,3,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00331101745053,0.12154865899992728,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.353796,Adult Census Income,False,workclass,False,8,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00767557937261,0.09791724799993062,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.353905,Adult Census Income,False,education,False,16,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0398129438994,0.1118738119999989,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.353944,Adult Census Income,False,marital.status,False,7,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.07442652889,0.09507838900003662,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.353978,Adult Census Income,False,occupation,False,14,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0357243122231,0.10881348099997012,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.354011,Adult Census Income,False,relationship,False,6,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0757273773369,0.09380723699996452,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.354044,Adult Census Income,False,race,False,5,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00372020818204,0.09962802899997314,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.354076,Adult Census Income,False,sex,False,2,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0165210192872,0.0905426180000859,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:35.354121,Adult Census Income,False,native.country,False,41,30162,4,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00327459491912,0.078586734000055,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159113,Adult Census Income,False,workclass,False,8,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00813862915455,0.08850363299995934,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159224,Adult Census Income,False,education,False,16,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0403337174993,0.08465019100003701,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159272,Adult Census Income,False,marital.status,False,7,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.074684365814,0.11171673599994847,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159314,Adult Census Income,False,occupation,False,14,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0350405943559,0.10778337399995053,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159353,Adult Census Income,False,relationship,False,6,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.075817880816,0.12600027400003455,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159392,Adult Census Income,False,race,False,5,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00374752900941,0.06975733000001583,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159427,Adult Census Income,False,sex,False,2,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0185074738226,0.0838758139999527,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:36.159463,Adult Census Income,False,native.country,False,41,30162,4,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00291319760057,0.09816348200001812,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
