Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 2,RFA_4,GW Chi Square - GW Squared Gini,1.4450636044417196,29,0.0795799274243,1.4471864693015848,29,0.0792844796209,0.0,100.0,29
KDD98 Multiclass 2,PEPSTRFL,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 2,DOMAIN,GW Chi Square - GW Squared Gini,-0.24501521621230155,29,0.595914914289,-0.24501521621230155,29,0.595914914289,0.0,100.0,29
KDD98 Multiclass 2,RFA_11,GW Chi Square - GW Squared Gini,-0.42551435095803797,29,0.663198494755,-0.42596283872919544,29,0.663360052709,0.0,100.0,29
KDD98 Multiclass 2,RFA_10,GW Chi Square - GW Squared Gini,3.925152838959347,29,0.00024502057953,3.9250731101705987,29,0.000245073430397,0.0,100.0,29
KDD98 Multiclass 2,RFA_15,GW Chi Square - GW Squared Gini,42.04345735014914,29,0.0,42.02573770640186,29,0.0,0.0,100.0,29
KDD98 Multiclass 2,RFA_2A,GW Chi Square - GW Squared Gini,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 2,CDPLAY,GW Chi Square - GW Squared Gini,0.0,22,100.0,0.0,22,100.0,0.0,100.0,22
KDD98 Multiclass 2,GARDENIN,GW Chi Square - GW Squared Gini,0.0,6,100.0,0.0,6,100.0,0.0,100.0,6
KDD98 Multiclass 2,FISHER,GW Chi Square - GW Squared Gini,0.0,17,100.0,0.0,17,100.0,0.0,100.0,17
KDD98 Multiclass 2,RFA_24,GW Chi Square - GW Squared Gini,5.582000407270275,29,2.52078777618e-06,5.5779512194555405,29,2.54919801823e-06,0.0,100.0,29
KDD98 Multiclass 2,BIBLE,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 2,RFA_17,GW Chi Square - GW Squared Gini,4.456471497347348,29,5.72533167741e-05,4.45322322021173,29,5.77690212992e-05,0.0,100.0,29
KDD98 Multiclass 2,RFA_3,GW Chi Square - GW Squared Gini,2.231368280294115,29,0.0167751213354,2.2332091143797075,29,0.0167076367874,0.0,100.0,29
KDD98 Multiclass 2,RECINHSE,GW Chi Square - GW Squared Gini,0.0,4,100.0,0.0,4,100.0,0.0,100.0,4
