Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
KDD98 Multiclass 2,RFA_12,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_13,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_13,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_14,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_14,GW Squared Gini,1,1,1
KDD98 Multiclass 2,RFA_15,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_15,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_16,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_16,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_17,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_17,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_18,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_18,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_19,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_19,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_2,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_2,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_20,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_20,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_21,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_21,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_22,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_22,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_23,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_23,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_24,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_24,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_2A,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_2A,GW Squared Gini,1,1,1
KDD98 Multiclass 2,RFA_3,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_3,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_4,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_4,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_5,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_5,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_6,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_6,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_7,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_7,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_8,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_8,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_9,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_9,GW Squared Gini,1,1,1
KDD98 Multiclass 2,STATE,GW Chi Square,0,0,0
KDD98 Multiclass 2,STATE,GW Squared Gini,1,1,1
KDD98 Multiclass 2,VETERANS,GW Chi Square,0,0,1
KDD98 Multiclass 2,VETERANS,GW Squared Gini,0,0,0
KDD98 Multiclass 2,WALKER,GW Chi Square,0,0,0
KDD98 Multiclass 2,WALKER,GW Squared Gini,1,1,1
KDD98 Multiclass 3,AGEFLAG,GW Chi Square,0,0,0
KDD98 Multiclass 3,AGEFLAG,GW Squared Gini,1,1,1
KDD98 Multiclass 3,BIBLE,GW Chi Square,0,0,1
KDD98 Multiclass 3,BIBLE,GW Squared Gini,0,0,0
KDD98 Multiclass 3,CDPLAY,GW Chi Square,0,0,0
KDD98 Multiclass 3,CDPLAY,GW Squared Gini,1,1,1
KDD98 Multiclass 3,COLLECT1,GW Chi Square,0,0,1
KDD98 Multiclass 3,COLLECT1,GW Squared Gini,0,0,0
KDD98 Multiclass 3,CRAFTS,GW Chi Square,0,0,0
KDD98 Multiclass 3,CRAFTS,GW Squared Gini,1,1,1
KDD98 Multiclass 3,DOMAIN,GW Chi Square,1,1,0
KDD98 Multiclass 3,DOMAIN,GW Squared Gini,0,0,1
KDD98 Multiclass 3,FISHER,GW Chi Square,0,0,0
KDD98 Multiclass 3,FISHER,GW Squared Gini,1,1,1
KDD98 Multiclass 3,GARDENIN,GW Chi Square,0,0,0
KDD98 Multiclass 3,GARDENIN,GW Squared Gini,1,1,1
KDD98 Multiclass 3,GENDER,GW Chi Square,0,0,0
KDD98 Multiclass 3,GENDER,GW Squared Gini,1,1,1
KDD98 Multiclass 3,GEOCODE2,GW Chi Square,0,0,0
KDD98 Multiclass 3,GEOCODE2,GW Squared Gini,1,1,1
KDD98 Multiclass 3,HOMEOWNR,GW Chi Square,0,0,0
KDD98 Multiclass 3,HOMEOWNR,GW Squared Gini,1,1,1
KDD98 Multiclass 3,OSOURCE,GW Chi Square,0,0,0
KDD98 Multiclass 3,OSOURCE,GW Squared Gini,1,1,1
KDD98 Multiclass 3,PCOWNERS,GW Chi Square,0,0,0
KDD98 Multiclass 3,PCOWNERS,GW Squared Gini,1,1,1
KDD98 Multiclass 3,PEPSTRFL,GW Chi Square,0,0,0
KDD98 Multiclass 3,PEPSTRFL,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RECP3,GW Chi Square,0,0,0
KDD98 Multiclass 3,RECP3,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RFA_10,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_10,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_11,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_11,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RFA_12,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_12,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RFA_13,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_13,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_14,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_14,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RFA_15,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_15,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_16,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_16,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_17,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_17,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_18,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_18,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_19,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_19,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_2,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_2,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_20,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_20,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_21,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_21,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_22,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_22,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_23,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_23,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_24,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_24,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_2A,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_2A,GW Squared Gini,1,1,1
KDD98 Multiclass 3,RFA_3,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_3,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_4,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_4,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_5,GW Chi Square,1,1,0
KDD98 Multiclass 3,RFA_5,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_6,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_6,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_7,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_7,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_8,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_8,GW Squared Gini,0,0,1
KDD98 Multiclass 3,RFA_9,GW Chi Square,0,0,0
KDD98 Multiclass 3,RFA_9,GW Squared Gini,1,1,1
KDD98 Multiclass 3,STATE,GW Chi Square,0,0,0
KDD98 Multiclass 3,STATE,GW Squared Gini,0,0,1
KDD98 Multiclass 3,STEREO,GW Chi Square,0,0,1
KDD98 Multiclass 3,STEREO,GW Squared Gini,0,0,0
KDD98 Multiclass 3,WALKER,GW Chi Square,0,0,1
KDD98 Multiclass 3,WALKER,GW Squared Gini,0,0,0
KDD98 Multiclass 5,AGEFLAG,GW Chi Square,0,0,0
KDD98 Multiclass 5,AGEFLAG,GW Squared Gini,0,0,1
KDD98 Multiclass 5,BIBLE,GW Chi Square,0,0,0
KDD98 Multiclass 5,BIBLE,GW Squared Gini,1,1,1
KDD98 Multiclass 5,CATLG,GW Chi Square,0,0,0
KDD98 Multiclass 5,CATLG,GW Squared Gini,1,1,1
KDD98 Multiclass 5,CDPLAY,GW Chi Square,0,0,0
KDD98 Multiclass 5,CDPLAY,GW Squared Gini,1,1,1
KDD98 Multiclass 5,COLLECT1,GW Chi Square,0,0,1
KDD98 Multiclass 5,COLLECT1,GW Squared Gini,0,0,0
KDD98 Multiclass 5,CRAFTS,GW Chi Square,0,0,0
KDD98 Multiclass 5,CRAFTS,GW Squared Gini,1,1,1
KDD98 Multiclass 5,DOMAIN,GW Chi Square,1,1,0
KDD98 Multiclass 5,DOMAIN,GW Squared Gini,0,0,1
KDD98 Multiclass 5,FISHER,GW Chi Square,0,0,0
KDD98 Multiclass 5,FISHER,GW Squared Gini,1,1,1
KDD98 Multiclass 5,GARDENIN,GW Chi Square,0,0,0
KDD98 Multiclass 5,GARDENIN,GW Squared Gini,1,1,1
KDD98 Multiclass 5,GENDER,GW Chi Square,0,0,1
KDD98 Multiclass 5,GENDER,GW Squared Gini,0,0,0
KDD98 Multiclass 5,GEOCODE2,GW Chi Square,1,1,0
KDD98 Multiclass 5,GEOCODE2,GW Squared Gini,0,0,1
KDD98 Multiclass 5,HOMEOWNR,GW Chi Square,0,0,0
KDD98 Multiclass 5,HOMEOWNR,GW Squared Gini,1,1,1
KDD98 Multiclass 5,OSOURCE,GW Chi Square,1,1,0
KDD98 Multiclass 5,OSOURCE,GW Squared Gini,0,0,1
KDD98 Multiclass 5,PCOWNERS,GW Chi Square,0,0,0
KDD98 Multiclass 5,PCOWNERS,GW Squared Gini,1,1,1
KDD98 Multiclass 5,PEPSTRFL,GW Chi Square,0,0,0
KDD98 Multiclass 5,PEPSTRFL,GW Squared Gini,1,1,1
KDD98 Multiclass 5,PETS,GW Chi Square,0,0,0
KDD98 Multiclass 5,PETS,GW Squared Gini,1,1,1
KDD98 Multiclass 5,RECINHSE,GW Chi Square,0,0,0
KDD98 Multiclass 5,RECINHSE,GW Squared Gini,1,1,1
KDD98 Multiclass 5,RFA_10,GW Chi Square,0,0,0
KDD98 Multiclass 5,RFA_10,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_11,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_11,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_12,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_12,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_13,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_13,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_14,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_14,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_15,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_15,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_16,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_16,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_17,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_17,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_18,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_18,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_19,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_19,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_2,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_2,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_20,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_20,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_21,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_21,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_22,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_22,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_23,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_23,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_24,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_24,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_2A,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_2A,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_3,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_3,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_4,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_4,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_5,GW Chi Square,0,0,0
KDD98 Multiclass 5,RFA_5,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_6,GW Chi Square,0,0,0
KDD98 Multiclass 5,RFA_6,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_7,GW Chi Square,0,0,0
KDD98 Multiclass 5,RFA_7,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_8,GW Chi Square,0,0,0
KDD98 Multiclass 5,RFA_8,GW Squared Gini,0,0,1
KDD98 Multiclass 5,RFA_9,GW Chi Square,1,1,0
KDD98 Multiclass 5,RFA_9,GW Squared Gini,0,0,1
KDD98 Multiclass 5,STATE,GW Chi Square,0,0,0
KDD98 Multiclass 5,STATE,GW Squared Gini,0,0,1
KDD98 Multiclass 5,STEREO,GW Chi Square,0,0,0
KDD98 Multiclass 5,STEREO,GW Squared Gini,1,1,1
KDD98 Multiclass 5,VETERANS,GW Chi Square,0,0,1
KDD98 Multiclass 5,VETERANS,GW Squared Gini,0,0,0
KDD98 Multiclass 5,WALKER,GW Chi Square,0,0,0
KDD98 Multiclass 5,WALKER,GW Squared Gini,1,1,1
KDD98 Multiclass 9,AGEFLAG,GW Chi Square,0,0,0
KDD98 Multiclass 9,AGEFLAG,GW Squared Gini,0,0,1
KDD98 Multiclass 9,BIBLE,GW Chi Square,0,0,0
KDD98 Multiclass 9,BIBLE,GW Squared Gini,1,1,1
KDD98 Multiclass 9,CATLG,GW Chi Square,0,0,0
KDD98 Multiclass 9,CATLG,GW Squared Gini,1,1,1
KDD98 Multiclass 9,CDPLAY,GW Chi Square,0,0,0
KDD98 Multiclass 9,CDPLAY,GW Squared Gini,1,1,1
KDD98 Multiclass 9,COLLECT1,GW Chi Square,0,0,0
KDD98 Multiclass 9,COLLECT1,GW Squared Gini,1,1,1
KDD98 Multiclass 9,CRAFTS,GW Chi Square,0,0,0
KDD98 Multiclass 9,CRAFTS,GW Squared Gini,1,1,1
KDD98 Multiclass 9,DOMAIN,GW Chi Square,0,0,0
KDD98 Multiclass 9,DOMAIN,GW Squared Gini,0,0,1
KDD98 Multiclass 9,FISHER,GW Chi Square,0,0,0
KDD98 Multiclass 9,FISHER,GW Squared Gini,1,1,1
KDD98 Multiclass 9,GARDENIN,GW Chi Square,0,0,0
KDD98 Multiclass 9,GARDENIN,GW Squared Gini,1,1,1
KDD98 Multiclass 9,GENDER,GW Chi Square,0,0,1
KDD98 Multiclass 9,GENDER,GW Squared Gini,0,0,0
KDD98 Multiclass 9,GEOCODE2,GW Chi Square,1,1,0
KDD98 Multiclass 9,GEOCODE2,GW Squared Gini,0,0,1
KDD98 Multiclass 9,OSOURCE,GW Chi Square,0,0,0
KDD98 Multiclass 9,OSOURCE,GW Squared Gini,0,0,1
KDD98 Multiclass 9,PCOWNERS,GW Chi Square,0,0,0
